Dag,Routine naam,Totaal duur,Oefeningen
1,Introduction & Routine,11 mins,Wall Slides • External Rotations with a mini band • Shoulder Stretch with a wall • ISO Box Hold with a mini band • Scapular Push Ups • Internal Rotation with a mini band • Thread the Needle
2,Routine,10 mins,"Alternating Facepull with a mini band • Wall Slides • External Rotations with a mini band • Lat Stretch with a wall • ISO Box Hold with a mini band • I's, Y's, T's • Sleeper Stretch with a foam roller"
3,Routine,11 mins,"External Rotations with a mini band • Shoulder Stretch with a wall • Alternating Facepull with a mini band • Lat Stretch with a wall • Scapular Push Ups • I's, Y's, T's • Thread the Needle"
4,Routine,10 mins,External Rotations with a mini band • ISO Box Hold with a mini band • Wall Slides • Alternating Facepull with a mini band • Lat Stretch with a wall • Sleeper Stretch with a foam roller • Scapular Push Ups
5,Routine,12 mins,"Shoulder Stretch with a wall • External Rotations with a mini band • I's, Y's, T's • Internal Rotation with a mini band • Scapular Push Ups • Thread the Needle • Sleeper Stretch with a foam roller"
6,Routine,10 mins,"Alternating Facepull with a mini band • Wall Slides • ISO Box Hold with a mini band • Lat Stretch with a wall • External Rotations with a mini band • I's, Y's, T's • Sleeper Stretch with a foam roller"
7,Routine & Recommendations,11 mins,ISO Box Hold with a mini band • Wall Slides • Alternating Facepull with a mini band • Shoulder Stretch with a wall • Internal Rotation with a mini band • Scapular Push Ups • Thread the Needle
